CAT CODE;RUS;KAZ;LEVEL;
Laser machines and accessories;Лазерные станки и комплектующие;Лазер станоктар мен оларды_ _осал_ы б_лшектері;3;
Polyurethane spraying equipment;Оборудование для напыления пенополиуретана;Пенополиуретан б_ркетін жабды_;3;
Painting machines;Окрасочные аппараты;Бояйтын аппараттар;3;
Sandblasting machines and guns;Пескоструйные аппараты и пистолеты;__м б_ркетін аппараттар мен пистолеттер;3;
Rebar tying guns;Пистолеты для вязки арматуры;Арматура байлау_а арнал_ан пистолеттер;3;
Telfer and hoist remotes;Пульты для крана, тельфера и тали;Кран, тельфер, тали пульттері;3;
Carvers;Резчики;Кескіштер;3;
Welding equipment;Сварочное оборудование;Д_некерлеу __рал-жабды_ы;3;
Tool machine equipments;Станочное оборудование;Станок жабды_тары;3;
Construction vibrators;Строительные глубинные вибраторы;__рылыс_а арнал_ан вибраторлар;3;
Industrial vacuum cleaners;Строительные пылесосы;__рылыс ша_сор_ыштары;3;
Chip extractors;Стружкоотсосы;Жа__а сор_ыштар;3;
Yard carts and wheelbarrows;Тележки и тачки;Тележки и тачки;3;
Telescopic lifts;Телескопические подъемники;Телескоп к_тергіштер;3;
Concrete heating transformers;Трансформаторы для прогрева бетона;Бетонды жылытатын трансформаторлар;3;
Plastering stations and accessories;Штукатурные станции и комплектующие;Сыла_ жасайтын станциялар мен оларды_ _осал_ы б_лшектері;3;
Industrial electric motors;Электродвигатели;Электр _оз_алт_ыштар;3;
SIP panels;SIP-панели;SIP-панелдер;3;
Concrete;Бетон;Бетон ;3;
Drywalls and accessories;Гипсокартон и аксессуары;Гипс картон мен оны_ керек-жара_ы;3;
Finished projects;Готовые проекты;Дайын жобалар;3;
Wood-based materials;Древесно-плитные материалы;А_аш-та_тай материалдары;3;
Drainage systems;Дренажные системы;Дренаж ж_йелері;3;
Reinforced concrete products;Железобетонные и полимерные изделия;Темір-бетон ж_не полимер б_йымдар;3;
Liquid concrete;Жидкий бетон;С_йы_ бетон;3;
Insulation materials;Изоляционные материалы;О_шаулау материалдары;3;
Kaprolon;Капролон;Капролон;3;
Adhesives and liquid nails;Клеи и жидкие гвозди;Желім, с_йы_ шеге;3;
Formwork accessories;Комплектующие для опалубки;Іргетас _алыбыны_ _осал_ы б_лшектері;3;
Roofing materials;Кровельные материалы;Шатыр жабатын материалдар;3;
Rolled metal products;Металлопрокат;Металл _німдері;3;
Plexiglass;Оргстекло и акриловое стекло;Органик _йнек ж_не акрил _йнек;3;
Polishing pastes;Пасты полировальные;Жылтырататын паста;3;
Building sand;Песок строительный;__рылыс_а керек __м;3;
Lumber wood;Пиломатериалы;А_аш материалдары;3;
Polycarbonate;Поликарбонат и комплектующие;Поликарбонат и _осал_ы жабды_тар;3;
Polyurethane;Полиуретан;Полиуретан;3;
Adjustable log and tile supports;Регулируемые опоры для лаг и плитки;Лагалар мен плитка_а арнал_ан реттелетін тіреуіштер;3;
Building siding;Сайдинг;Сайдинг;3;
Nets and ribbons;Сетки, серпянки и ленты;Тор, таспа, торлы таспа;3;
Construction chemistry;Строительная химия;__рылыс химиясы;3;
